user_id,email,first_name,last_name,age,gender,country,state_province,city,subscription_plan,subscription_start_date,monthly_spend,primary_device,household_size,created_at,is_churned,watch_watch_date,watch_watch_duration_minutes,watch_progress_percentage,watch_is_download,watch_user_rating,watch_release_year,watch_duration_minutes,watch_imdb_rating,watch_production_budget,watch_box_office_revenue,watch_number_of_seasons,watch_number_of_episodes,watch_is_netflix_original,watch_content_warning,watch_session_id,watch_movie_id,watch_device_type,watch_action,watch_quality,watch_location_country,watch_title,watch_content_type,watch_genre_primary,watch_genre_secondary,watch_rating,watch_language,watch_country_of_origin,watch_added_to_platform,watch_event_count,rec_recommendation_date,rec_time_of_day,rec_recommendation_score,rec_was_clicked,rec_position_in_list,rec_recommendation_id,rec_movie_id,rec_recommendation_type,rec_device_type,rec_algorithm_version,rec_event_count,search_search_date,search_results_returned,search_clicked_result_position,search_search_duration_seconds,search_had_typo,search_used_filters,search_search_id,search_search_query,search_device_type,search_location_country,search_event_count,review_review_date,review_sentiment,review_sentiment_score,review_rating,review_is_verified_watch,review_helpful_votes,review_total_votes,review_review_id,review_movie_id,review_device_type,review_review_text,review_event_count
user_00001,figueroajohn@example.org,Erica,Garza,43.0,Male,USA,Massachusetts,North Jefferyhaven,Basic,2024-04-08,36.06,Laptop,1.0,2023-04-01 14:40:50.540242,0,2025-10-30,643.2,66.13076923076923,0.42857142857142855,3.0,2008.5,1518.0,6.946153846153846,13340540.0,67907957.33333333,3.5,146.0,0.42857142857142855,0.35714285714285715,session_031813,movie_0225,Desktop,completed,4K,Canada,Our Family,Movie,Adventure,Drama,NC-17,English,Canada,2022-12-15,14,2025-04-26,night,0.315,0.0,11.0,rec_019545,movie_0229,genre_based,Mobile,v1.4,3.0,2024-12-29,50.0,7.0,27.5,0.0,0.0,search_022245,action movies,Laptop,USA,1.0,2024-01-09,positive,0.792,4.0,1.0,0.0,0.0,review_006308,movie_0122,Tablet,This movie exceeded my expectations.,1.0
user_00002,blakeerik@example.com,Joshua,Bernard,38.0,Male,USA,Texas,North Noahstad,Premium+,2024-05-24,14.59,Desktop,2.0,2024-10-10 15:39:11.030515,0,2025-11-28,733.3,59.67142857142857,0.3125,3.3333333333333335,2007.0625,1127.0,5.578571428571428,15023815.0,75316150.16666667,7.0,89.33333333333333,0.5625,0.1875,session_001696,movie_0537,Smart TV,stopped,HD,USA,New Story,Movie,Horror,Sci-Fi,PG-13,English,USA,2022-08-16,16,,,,,,,,,,,,2025-12-08,177.0,,54.3,0.3333333333333333,0.3333333333333333,search_003994,classic movies,Laptop,USA,3.0,2025-09-12,positive,0.721,3.5,0.75,10.0,12.0,review_000894,movie_0113,Tablet,One of the best series I've ever watched. Highly recommend!,4.0
user_00003,smiller@example.net,Barbara,Williams,32.0,Female,USA,Michigan,Traciebury,Standard,2023-09-22,11.71,Desktop,3.0,2024-06-29 14:27:49.560875,1,2025-06-24,660.9,37.849999999999994,0.2222222222222222,4.0,2009.7777777777778,927.0,6.988888888888889,5407160.6,26906844.0,4.5,110.66666666666667,0.3333333333333333,0.2222222222222222,session_073014,movie_0855,Mobile,completed,HD,USA,First Night,Movie,Animation,War,TV-MA,English,France,2021-06-05,9,2025-04-13,night,0.68325,0.3333333333333333,12.0,rec_001807,movie_0453,trending,Laptop,v2.0,6.0,,,,,,,,,,,,2024-04-17,positive,0.887,4.0,1.0,0.0,0.0,review_010660,movie_0028,Tablet,Brilliant performance by the cast. Must watch!,1.0
user_00004,mitchellclark@example.com,Chelsea,Ferguson,11.0,Male,USA,Ohio,South Noah,Standard,2024-08-21,28.56,Laptop,2.0,2023-04-11 01:01:59.614841,0,2025-12-29,1369.5,38.16470588235294,0.17647058823529413,4.333333333333333,2009.5294117647059,1359.0,4.830769230769231,2391819.8571428573,408408069.8,13.0,164.0,0.4117647058823529,0.11764705882352941,session_038519,movie_0586,Laptop,paused,HD,USA,A Adventure,Movie,Drama,Documentary,G,English,USA,2021-10-26,17,2025-08-10,night,0.589,0.0,7.75,rec_010160,movie_0074,similar_users,Laptop,v1.4,4.0,2025-12-29,145.0,,53.099999999999994,0.0,0.0,search_015439,christmas movies,Laptop,Canada,2.0,2025-03-12,positive,0.78,2.25,0.75,13.0,13.0,review_007779,movie_0155,Mobile,Disappointing. Expected much more.,4.0
user_00005,richard13@example.net,Jason,Foster,21.0,Female,USA,Arizona,West Donald,Standard,2024-10-28,9.54,Desktop,6.0,2025-04-12 19:59:30.137806,0,2025-09-19,480.79999999999995,56.544444444444444,0.2,4.0,1999.2,843.0,5.988888888888889,6833549.5,85598528.25,12.0,63.5,0.2,0.5,session_096399,movie_0367,Laptop,started,HD,USA,Storm Secret,Movie,Drama,Adventure,TV-MA,English,USA,2022-11-29,10,2024-04-02,evening,0.473,0.0,13.0,rec_010967,movie_0639,genre_based,Tablet,v1.3,1.0,2025-09-29,132.0,10.0,75.4,0.0,0.0,search_001556,music documentaries,Mobile,USA,2.0,2025-09-26,positive,0.705,3.3333333333333335,1.0,8.0,9.0,review_006493,movie_0062,Tablet,Absolutely loved this movie. Great acting and storyline.,3.0
user_00006,jeffrey28@example.com,Katelyn,Hernandez,43.0,Female,Canada,Quebec,Carlsonfurt,Standard,2024-05-16,,Gaming Console,2.0,2024-03-04 19:57:36.106319,0,2025-11-30,447.8,63.583333333333336,0.4166666666666667,2.3333333333333335,2006.25,982.0,7.06,761713.5,268961079.0,4.5,85.25,0.4166666666666667,0.08333333333333333,session_037323,movie_0098,Smart TV,stopped,4K,USA,A War,Stand-up Comedy,Adventure,Adventure,PG-13,English,USA,2022-07-27,12,2025-12-12,night,0.6366666666666667,0.0,10.5,rec_006341,movie_0978,genre_based,Tablet,v2.0,8.0,2024-06-11,41.0,,17.4,1.0,0.0,search_017598,stand up comedy,Tablet,USA,1.0,2025-01-30,neutral,0.506,3.0,1.0,2.0,5.0,review_002227,movie_0925,Mobile,Not bad but not great either.,1.0
user_00007,maldonadoamanda@example.com,Daniel,Moore,63.0,,USA,Maryland,Teresaburgh,Premium,2025-03-13,27.74,Desktop,1.0,2025-02-10 07:18:23.258712,0,2025-12-30,662.2,37.79,0.25,4.5,2002.0,1094.0,6.418181818181819,11676752.6,11162978.0,8.25,99.25,0.3333333333333333,0.25,session_002908,movie_0099,Desktop,stopped,HD,USA,Day Fire,Movie,Fantasy,Crime,G,English,USA,2020-10-30,12,2024-12-17,evening,0.6095,0.0,13.0,rec_002303,movie_0077,new_releases,Mobile,v1.3,2.0,2024-08-06,73.0,,21.3,0.0,0.0,search_003683,netflix originals,Mobile,USA,2.0,2024-10-17,positive,0.963,4.0,1.0,10.0,17.0,review_001414,movie_0262,Smart TV,Amazing show! Couldn't stop watching.,3.0
user_00008,nathanielmartin@example.net,Carol,Smith,,Male,Canada,New Brunswick,Johnbury,Basic,2022-11-03,6.69,Tablet,1.0,2025-01-13 04:53:02.134116,0,2025-11-27,409.9,38.79090909090909,0.09090909090909091,3.3333333333333335,2006.3636363636363,970.0,6.090909090909091,16635838.75,13646344.2,4.5,187.0,0.36363636363636365,0.2727272727272727,session_002547,movie_0355,Desktop,paused,4K,USA,Adventure Fire,Movie,History,Biography,R,English,USA,2020-12-09,11,2024-11-24,morning,0.741,0.0,10.666666666666666,rec_024646,movie_0432,personalized,Smart TV,v1.4,3.0,2024-08-04,56.0,3.0,14.0,0.0,0.0,search_001636,comedy shows,Mobile,Canada,2.0,,,,,,,,,,,,
user_00009,donnaarroyo@example.org,Allison,Brandt,24.0,Male,USA,North Carolina,Raymondstad,Premium,2025-04-13,12.21,Gaming Console,5.0,2022-12-13 15:46:23.391721,0,2025-11-23,388.0,47.25,0.0,5.0,2013.0,471.0,6.12,4260048.0,6365977.0,5.333333333333333,66.66666666666667,0.2857142857142857,0.2857142857142857,session_013084,movie_0269,Smart TV,stopped,4K,Canada,Dragon Princess,Documentary,Thriller,Fantasy,PG-13,English,UK,2021-04-26,7,2024-10-23,night,0.4396,0.0,12.2,rec_008210,movie_0084,trending,Mobile,v1.4,5.0,2024-12-08,111.0,3.0,78.2,0.0,0.5,search_003400,christmas movies,Tablet,Canada,2.0,,,,,,,,,,,,
user_00010,morganbrianna@example.org,Adrian,Perez,24.0,Male,USA,Pennsylvania,Chadbury,Basic,2024-08-04,23.18,Laptop,1.0,2024-03-15 22:04:39.445799,0,2025-11-18,614.8,59.7,0.2,2.0,2010.6,695.0,5.885714285714286,2006408.0,62416143.5,3.0,54.0,0.3,0.5,session_000891,movie_0087,Mobile,paused,4K,Canada,Day Warrior,Movie,Comedy,Animation,PG-13,English,USA,2021-02-22,10,2025-05-10,night,0.6950000000000001,0.0,12.2,rec_020341,movie_0283,personalized,Tablet,v1.3,5.0,2025-12-04,117.0,,47.099999999999994,0.3333333333333333,0.0,search_012915,comedy shows,Tablet,USA,3.0,2025-03-25,positive,0.665,2.5,0.5,7.0,8.0,review_001017,movie_0302,Mobile,Confusing plot. Hard to follow.,2.0
